variable,description,,,,
date,Date of projection,,,,
version_name,"Scenario version (reference, worse, best_masks)",,,,
inf_mean,Daily infections (mean estimate),,,,
inf_upper,Daily infections (upper 95% confidence interval),,,,
inf_lower,Daily infections (lower 95% confidence interval),,,,
seir_cumulative_mean,Cumulative excess deaths (mean estimate),,,,
seir_cumulative_lower,Cumulative excess deaths (lower 95% confidence interval),,,,
seir_cumulative_upper,Cumulative excess deaths (upper 95% confidence interval),,,,
inf_cuml_mean,Cumulative infections (mean estimate),,,,
inf_cuml_lower,Cumulative infections (lower 95% confidence interval),,,,
inf_cuml_upper,Cumulative infections (upper 95% confidence interval),,,,
seir_daily_mean,Daily excess deaths (mean estimate),,,,
seir_daily_lower,Daily excess deaths (lower 95% confidence interval),,,,
seir_daily_upper,Daily excess deaths upper 95% confidence interval),,,,
seir_daily_unscaled_mean,Daily reported deaths (mean estimate),,,,
seir_daily_unscaled_lower,Daily reported deaths (lower 95% confidence interval),,,,
seir_daily_unscaled_upper,Daily reported deaths upper 95% confidence interval),,,,
seir_cumulative_unscaled_mean,Cumulative reported deaths (mean estimate),,,,
seir_cumulative_unscaled_lower,Cumulative reported deaths (lower 95% confidence interval),,,,
seir_cumulative_unscaled_upper,Cumulative reported deaths (upper 95% confidence interval),,,,
reff_mean,R effective (mean estimate),,,,
reff_lower,R effective (lower 95% confidence interval),,,,
reff_upper,R effective (upper 95% confidence interval),,,,
location_name,Location name,,,,
location_id,Location ID code,,,,
cumulative_cases,Cumulative cases (raw data),,,,
cumulative_deaths,Cumulative deaths (raw data with excess mortality scalar applied),,,,
cumulative_hospitalizations,Cumulative hospitalizations (raw data),,,,
daily_deaths,Daily deaths (raw data with excess mortality scalar applied),,,,
daily_infections,Daily infections (raw data),,,,
cumulative_deaths_unscaled,Cumulative deaths (raw data without excess mortality scalar applied),,,,
daily_deaths_unscaled,Daily deaths (raw data without excess mortality scalar applied),,,,
population,Population size,,,,
mobility_mean,Percent change in mobility from baseline (mean),,,,
mobility_obs,Indicator for whether mobility estimate comes from observed data (1) or modelled estimates (0),,,,
testing_mean,"Tests per 100,000 (mean estimate)",,,,
testing_lower,"Tests per 100,000 (lower 95% confidence interval)",,,,
testing_upper,"Tests per 100,000 (upper 95% confidence interval)",,,,
testing_obs,Indicator for whether testing estimate comes from observed data (1) or modelled estimates (0),,,,
pneumonia_mean,Ratio of pneumonia deaths in a given week to the average annual pneumonia deaths by location,,,,
pneumonia_obs,Indicator for whether pneumonia estimate comes from observed data (1) or modelled estimates (0),,,,
mask_use_mean,Percent of population reporting always wearing a mask when leaving home,,,,
mask_use_obs,Indicator for whether mask estimate comes from observed data (1) or modelled estimates (0),,,,
cumulative_all_vaccinated,Initially vaccinated (one dose of two doses),,,,
cumulative_all_effectively_vaccinated,Effectively vaccinated (one and two dose with efficacy),,,,
cumulative_all_fully_vaccinated,Fully vaccinated (one of one and two of two doses),,,,
hospital_beds_mean,Daily COVID-19 hospital beds needed (mean estimate),,,,
hospital_beds_upper,Daily COVID-19 hospital beds needed (upper 95% confidence interval),,,,
hospital_beds_lower,Daily COVID-19 hospital beds needed (lower 95% confidence interval),,,,
icu_beds_mean,Daily COVID-19 ICU beds needed (mean estimate),,,,
icu_beds_upper,Daily COVID-19 ICU beds needed (upper 95% confidence interval),,,,
icu_beds_lower,Daily COVID-19 ICU beds needed (lower 95% confidence interval),,,,
admis_mean,Daily COVID-19 hospital admissions (mean estimate),,,,
admis_upper,Daily COVID-19 hospital admissions (mean estimate),,,,
admis_lower,Daily COVID-19 hospital admissions (mean estimate),,,, 
all_bed_capacity,Total number of beds that exist at a location,,,,
icu_bed_capacity,Total number of ICU beds that exist at a location,,,,
infection_fatality,Infection fatality ratio,,,,
infection_detection,Infection detection ratio,,,,
infection_hospitalization,Infection hospitalization ratio,,,,
